Site,98/99,99/0,0/1,1/2,2/3,3/4,4/5,5/6,6/7,7/8,8/9,9/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,MaximalMonthOf18,Mean5yr,Mean12/13-17/18
Billing Gravel Pits,4,4,nan,nan,nan,nan,nan,nan,nan,nan,4,4,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,71
Drumgay Lough,63,63,12,12,12,12,nan,nan,nan,nan,63,63,12,12,12,12,nan,nan,nan,nan,nan,29.0,71
Frampton Pools,128,128,107,107,87,87,79.0,79.0,101,101,128,128,107,107,87,87,79.0,79.0,101,101,Aug,100.0,71
Lower Teviot Valley,59,59,23,23,53Supplementary visit under the WeBS Core Count SurveyWeBS,53Supplementary visit under the WeBS Core Count SurveyWeBS,9.0,9.0,23,23,59,59,23,23,53Supplementary visit under the WeBS Core Count SurveyWeBS,53Supplementary visit under the WeBS Core Count SurveyWeBS,9.0,9.0,23,23,Nov,33.0,71
Arun Valley,185,185,174,174,167,167,136.0,136.0,(159),(159),185,185,174,174,167,167,136.0,136.0,(159),(159),Jan,166.0,70
Swithland Reservoir,46,46,20,20,29,29,10.0,10.0,28,28,46,46,20,20,29,29,10.0,10.0,28,28,Sep,27.0,70
Mare Fen,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,69
Pulfin Bog and High Eske Nature Reserve,21,21,10,10,54,54,25.0,25.0,(84),(84),21,21,10,10,54,54,25.0,25.0,(84),(84),Jan,39.0,69
Taw-Torridge Estuary,71,71,56,56,51,51,56.0,56.0,51,51,71,71,56,56,51,51,56.0,56.0,51,51,Dec,57.0,69
Walthamstow Reservoirs,55,55,67,67,87,87,87.0,87.0,89,89,55,55,67,67,87,87,87.0,87.0,89,89,Feb,77.0,69
