Site,47/48,48/49,49/50,50/51,51/52,52/53,53/54,54/55,55/56,56/57,57/58,58/59,59/60,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,00/01,01/02,02/03,03/04,04/05,05/06,06/07,07/08,08/09,09/10,10/11,11/12,12/13,13/14,14/15,15/16,16/17,17/18,RoughTimeAccessed
Seagahan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[2, 1, 'Jan', 0, None, None]",nan,"[4, 1, 'Jan', 0, None, None]",nan,"[0, 1, '', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[15, 2, 'Nov', 0, None, None]",nan,nan,nan,2019-12-04 19:46:05
Silsden Reservoir,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[6, 1, 'Sep', 0, None, None]","[7, 1, 'Nov', 0, None, None]","[5, 1, 'Oct', 0, None, None]","[2, 1, 'Feb', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[11, 1, 'Aug', 0, None, None]",nan,nan,"[4, 2, 'Feb', 0, None, None]",nan,nan,nan,nan,"[0, 1, '', 0, None, None]",nan,"[4, 1, 'Mar', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[6, 1, 'Mar', 0, None, None]","[2, 1, 'Mar', 0, None, None]","[6, 1, 'Sep', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[15, 2, 'Aug', 0, None, None]","[40, 2, 'Sep', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[10, 1, 'Jan', 0, None, None]","[6, 1, 'Jan', 0, None, None]",2019-12-04 19:46:05
Stoke Water Meadows,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[24, 1, 'Dec', 0, None, None]","[74, 1, 'Jan', 0, None, None]","[57, 1, 'Dec', 0, None, None]","[39, 1, 'Mar', 0, None, None]","[50, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jun', 0, None, None]","[9, 1, 'May', 0, None, None]","[7, 1, 'Jul', 0, None, None]",nan,"[10, 1, 'Apr', 0, None, None]","[19, 1, 'Feb', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[23, 1, 'Dec', 0, None, None]","[7, 1, 'Nov', 0, None, None]",nan,nan,nan,nan,nan,"[14, 1, 'Mar', 0, None, None]","[38, 1, 'Feb', 0, None, None]","[32, 1, 'Sep', 0, None, None]","[13, 1, 'Mar', 0, None, None]","[14, 1, 'Apr', 0, None, None]","[13, 1, 'May', 0, None, None]","[12, 1, 'Apr', 0, None, None]","[21, 1, 'Nov', 0, None, None]",2019-12-04 19:46:05
Sutton Courtenay Gravel Pits East,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 2, 'Dec', 0, None, None]","[13, 1, 'Aug', 0, None, None]","[8, 1, 'Jul', 0, None, None]",2019-12-04 19:46:05
Trent and Mersey Canal Flashes And Basin,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[152, 1, 'Nov', 0, None, None]","[267, 1, 'Jan', 0, None, None]","[0, 1, '', 0, None, None]","[200, 1, 'Feb', 0, None, None]","[170, 1, 'Jan', 0, None, None]","[176, 1, 'Jan', 0, None, None]","[101, 1, 'Jan', 0, None, None]",nan,"[44, 1, 'Jan', 0, None, None]","[28, 1, 'Nov', 0, None, None]","[19, 1, 'Feb', 0, None, None]","[23, 1, 'Jul', 0, None, None]","[42, 1, 'Feb', 0, None, None]","[15, 1, 'Jul', 0, None, None]","[8, 1, 'Aug', 0, None, None]","[26, 1, 'Jan', 0, None, None]","[6, 1, 'Jan', 0, None, None]","[101, 1, 'Oct', 0, None, None]","[2, 1, 'Dec', 0, None, None]","[7, 1, 'Apr', 0, None, None]","[36, 1, 'Feb', 0, None, None]","[21, 1, 'Nov', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[20, 1, 'Jan', 0, None, None]","[11, 1, 'Feb', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[8, 1, 'Mar', 0, None, None]","[45, 1, 'Sep', 1, 'Supplementary visit under the  WeBS Core Count Survey', 'WeBS']","[39, 1, 'Nov', 0, None, None]","[7, 1, 'Mar', 0, None, None]","[4, 1, 'Apr', 0, None, None]","[2, 1, 'Jun', 0, None, None]","[58, 1, 'Feb', 0, None, None]","[4, 1, 'Mar', 0, None, None]","[6, 1, 'Feb', 0, None, None]","[4, 1, 'Apr', 0, None, None]",2019-12-04 19:46:05
Woodsetts and Owday Ponds,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[21, 1, 'Jan', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[26, 1, 'Mar', 0, None, None]","[12, 1, 'Oct', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[28, 1, 'Feb', 0, None, None]","[45, 1, 'Feb', 0, None, None]","[26, 1, 'Dec', 0, None, None]","[34, 1, 'Jan', 0, None, None]","[33, 1, 'Aug', 0, None, None]","[25, 1, 'Oct', 0, None, None]","[29, 1, 'Dec', 0, None, None]","[31, 1, 'Nov', 0, None, None]","[25, 1, 'Mar', 0, None, None]","[44, 1, 'Dec', 0, None, None]","[19, 1, 'Oct', 0, None, None]","[21, 1, 'Dec', 0, None, None]","[28, 1, 'Dec', 0, None, None]",nan,nan,"[25, 1, 'Jan', 0, None, None]","[67, 1, 'Feb', 0, None, None]","[27, 1, 'Jan', 0, None, None]","[19, 1, 'Dec', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[14, 1, 'Oct', 0, None, None]","[14, 1, 'Dec', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[17, 1, 'Feb', 0, None, None]","[16, 1, 'Nov', 0, None, None]","[14, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Alexandra Lake Lakeside Retail Park,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Jan', 0, None, None]","[40, 1, 'Dec', 0, None, None]","[28, 1, 'Jan', 0, None, None]","[41, 1, 'Dec', 0, None, None]",nan,nan,nan,nan,nan,nan,"[42, 1, 'Sep', 0, None, None]","[18, 1, 'Dec', 0, None, None]","[24, 1, 'Jan', 0, None, None]","[15, 1, 'Oct', 0, None, None]",nan,"[12, 1, 'Dec', 0, None, None]",nan,nan,2019-12-04 19:46:05
Bara Loch,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[20, 1, 'Feb', 0, None, None]","[10, 1, 'Nov', 0, None, None]",nan,"[4, 1, 'Nov', 0, None, None]",nan,"[4, 1, 'Feb', 0, None, None]","[0, 1, '', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,"[13, 2, 'Jun', 0, None, None]","[30, 1, 'Feb', 0, None, None]","[16, 1, 'Mar', 0, None, None]","[10, 1, 'Mar', 0, None, None]","[0, 1, '', 0, None, None]","[12, 1, 'Nov', 0, None, None]",nan,nan,nan,"[14, 1, 'Dec', 0, None, None]","[12, 1, 'Feb', 0, None, None]","[6, 1, 'Jul', 0, None, None]","[9, 1, 'Nov', 0, None, None]","[8, 1, 'Nov', 0, None, None]","[8, 1, 'Feb', 0, None, None]","[12, 1, 'Sep', 0, None, None]","[11, 1, 'Mar', 0, None, None]","[9, 1, 'May', 0, None, None]","[20, 1, 'Sep', 0, None, None]","[12, 1, 'Aug', 0, None, None]","[13, 1, 'Oct', 0, None, None]","[14, 1, 'Feb', 0, None, None]",2019-12-04 19:46:05
Brandesburton Ponds West,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[25, 1, 'Jan', 0, None, None]","[17, 1, 'Jan', 0, None, None]","[47, 1, 'Jan', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[30, 1, 'Jan', 0, None, None]","[23, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,"[20, 1, 'Feb', 0, None, None]","[36, 1, 'Jan', 0, None, None]","[72, 1, 'Dec', 0, None, None]","[16, 1, 'Jan', 0, None, None]","[14, 1, 'Feb', 0, None, None]","[32, 1, 'Feb', 0, None, None]","[73, 1, 'Feb', 0, None, None]","[74, 1, 'Dec', 0, None, None]","[97, 1, 'Mar', 0, None, None]","[50, 1, 'Feb', 0, None, None]","[60, 2, 'Feb', 0, None, None]","[51, 2, 'Jan', 0, None, None]","[52, 1, 'Mar', 0, None, None]","[70, 1, 'Jan', 0, None, None]","[66, 1, 'Jan', 0, None, None]","[21, 1, 'Dec', 0, None, None]",nan,"[56, 1, 'Jan', 0, None, None]","[39, 1, 'Mar', 0, None, None]","[28, 1, 'Mar', 0, None, None]","[23, 2, 'Feb', 0, None, None]","[4, 1, 'Dec', 0, None, None]",nan,nan,nan,2019-12-04 19:46:05
"Brightlingsea, Moverons, Alresford and Wivenhoe Gravel Pits",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[163, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Nov', 0, None, None]",nan,nan,"[7, 1, 'Jun', 0, None, None]","[15, 1, 'Jan', 0, None, None]","[17, 1, 'Mar', 0, None, None]","[16, 1, 'Oct', 0, None, None]",2019-12-04 19:46:05
Burstwick Gravel Pits,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 1, 'Jan', 0, None, None]","[9, 1, 'Jan', 0, None, None]","[14, 1, 'Jan', 0, None, None]","[11, 1, 'Jan', 0, None, None]","[37, 1, 'Jan', 0, None, None]","[38, 1, 'Jan', 0, None, None]","[53, 1, 'Jan', 0, None, None]","[2, 1, 'Jan', 0, None, None]",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"[4, 2, 'Jan', 0, None, None]","[14, 2, 'Nov', 0, None, None]","[12, 2, 'Feb', 0, None, None]",nan,"[5, 2, 'Jan', 0, None, None]",2019-12-04 19:46:05
